对话ID,天数,说话对象,分支种类,当天的句子序号,文本内容,后接分支ID,结局ID
1,1,我,C,1,（睁开眼睛）这……这里是哪儿？,,
2,1,我,C,2,（你就像刚出生的婴儿一样，非常仔细地环视这个绿色的新世界）,C1,
3,1,我,C1_1,1,（你抱住自己的脑袋，尝试回忆一点东西，却感觉里面都是浆糊。如果用更优美的语言形容，那就像意识之海里大雾弥漫，所见之处无一不被云雾所缭绕，并且这雾气持续得相当远),,
4,1,我,C1_1,2,（乍一看好像很美，实则空无一物）,,
5,1,我,C1_1,3,我……我……（你缓缓歪起头）是谁？,,
6,1,我,C1_2,1,（你查看了自己的手脚，发现手脚很健全，没有任何瑕疵，发育得相当健康，甚至可以说比较有力）,,
7,1,我,C1_2,2,（你理所当然地回忆自己上一秒在做什么，却遭遇了未曾预料的阻碍。你竟然想不起自己上一秒在做什么）,,
8,1,我,C1_2,3,（你低下头呆呆地望着自己的手）我失忆了？,,
9,1,我,C1_3,1,（你用力捏了一下自己的脸。你的脸很光滑，没有长毛。痛感到来的速度和你捏自己脸的蠢动作是匹配的。看来这并不是一场梦）,,
10,1,我,C1_3,2,（下一秒你又否定了不是梦的猜想。因为你想不起来自己是否曾做过梦),,
11,1,我,C1_3,3,（记忆被层层云雾笼罩了。梦这个概念本身就像雾气中腾起的一卷浪，澎地一声穿云而过，又澎地一声散落在雾气之中）,,
12,1,我,C1_3,4,（你呆呆地坐在原地）,,
13,1,我,C1_4,1,（你躺下去选择继续睡觉。闭上眼睛的你并没有沉入完全的暗黑之中，阳光在你的眼皮上跳着火热的舞蹈。你用手关上眼睑。风在吹。它从你的脚底板一直吹到你的脑门上，把你的汗毛吹得直痒痒）,,
14,1,我,C1_4,2,（你只好睁开眼，同时发现自己没有了记忆),,
15,2,我,C,1,（你花了一日走出森林，看见了一条涓涓细流。你没有犹豫便走近了那条透明绢带，有一头漂亮的成年梅花鹿正在饮水）,,
16,2,我,C,2,（你目不转睛地盯着这个胸腔正起伏不断的裹着绒毛的生物）,,
17,2,梅花鹿,C,3,（它粉色的舌头上挂着水珠，黑色的眼珠温顺中潜伏着一股力量）嗨，新伙计。,,
18,2,我,C,4,（惊讶）,,
19,2,梅花鹿,C,5,（低头啜饮清凉的溪水，高高的鹿角边缘裹着一层几乎看不见的细细绒毛。它漂亮的脖颈与水中倒影形成一个曼妙的角度）,,
20,2,梅花鹿,C,6,（抬起头对你说）以前没在这附近见过你。你看起来好像已经成年了。是从其它地方迁徙过来的吧？,,
21,2,我,C,7,（你还在犹豫该不该喝水，不自觉干咽了一下）,,
22,2,梅花鹿,C,8,不会说话吗？这条溪水很好喝。（它抬起头不再饮水，看起来已经足够了。它在湿润的泥土上跺了几下黑色的鹿蹄，那细长的四肢合乎韵律地摆动着。见你不说话转头要离开了）,,
23,2,我,C,9,（你望着它离开的方向，那里还有四只和它差不多大的成年梅花鹿，以及两只没有长角的小梅花鹿）,,
24,2,我,C,10,（你不管它们的离去，而是捧起眼前的溪水，它冰凉的触感让你发热的双颊十分舒适，甚至有小虾戳到了你的脸颊，感觉痒痒的）,,
25,2,我,C,11,（你模仿梅花鹿的动作饮了一口，你的咽喉立刻被这甘甜而湿润的触感俘虏了。这安抚了你从刚开始便产生的莫名焦虑）,,
26,2,我,C,12,（你望着平静的水面，细碎的涟漪拂过你的心间）我也有同类吗？,,
27,3,我,C,1,（你花了两天穿过森林，见到了一片极为广阔的平原。高高生长的绿草蔓延到腰际，地平线在眼前延伸自发白的远方）不管往哪边看都没有一条路啊。,,
28,3,我,C,2,（你立刻闭嘴，惊讶于自己口中吐出的路字）,,
29,3,我,C,3,（你回想)路……是用来干什么的？,,
30,3,我,C,4,（当你穿行在这片茂密的高草地时，耳旁总能不停地听见窸窸窣窣的小动静。这使你清楚地意识到这儿除你以外，还有许多其它动物）,,
31,3,我,C,5,（你不停地走啊走，也没见着一个动物从这片高草地里钻出来）,,
32,3,我,C,6,（你想抬头望天，却感到十分刺目以至于无法仰望。烈日烧心，汗水从你的两鬓汩汩滚落。你拂落了一把之后它们又再次从你的体内溢出，好像你是个蓄满了水的杯子),,
33,3,我,C,7,（你把手抬起来抵住太阳前行。尽管如此，你仍旧不敢凝视上空，只得低低地看着眼前无限伸展的高草丛。这下确实有了发现）,,
34,3,兔子,C,8,（抬头看着你）人类，你在这里做什么？你要去哪儿？（嘴里嚼动着什么，胡须也不断摆动）,,
35,3,我,C,9,你是？,,
36,3,兔子,C,10,嗯？我是什么你忘记了吗？我的名字可还是你们命名的。,,
37,3,我,C,11,抱歉。,,
38,3,兔子,C,12,真是奇怪的人类。说起来我还真是看到了稀奇东西。,,
39,3,我,C,13,为什么稀奇？（有点急切）请问你除了我以外还看见过别的人吗？,,
40,3,兔子,C,14,从——没见过。（开始梳理自己的毛发）人类的特征是妈妈告诉我的。妈妈说两条腿直立起来的通通都是人类。,,
41,3,我,C,15,是，是这样吗？,,
42,3,兔子,C,16,（猛地抬起头，用陌生的红色眼睛盯着你看）说起来，人类是要吃兔子的。,,
43,3,兔子,C,17,（它向后跺了跺脚，咚地一声钻进草地里不见了）,,
44,3,我,C,18,你去哪儿了，小兔子？（没有回响）,,
45,3,我,C,19,（大白天的你却感到一丝凉意。原先草丛里那窸窸窣窣的动静在你耳边变得越来越大、越来越大，不知不觉间你的步伐也越来越来大、越来越大),,
46,3,我,C,20,你感到好像有一个越来越大的东西在追赶你。原本巨大的太阳看起来却越来越小了。视野中蒙了一层时大时小的薄纱）,,
47,3,我,C,21,（于是你顾不得焦渴，撒腿在草丛里跑了起来）,,
48,3,我,C,22,（你听见自己连续不断的呼呼喘气声，肺部的抽疼也无法使你停下脚步。空气吞进喉咙里像在吞刀子，给人莫名的快意）,,
49,3,我,C,23,（不知你玩命狂奔了多久，还以为永远也不可能走出这里时，眼前总算露出了陆地的影子。你像总算抵达终点的田径运动员，在最后的最后还做了个冲刺）,,
50,3,我,C,24,（你简直要累得瘫倒在地）,,
51,3,我,C,25,（你弯下腰大口吸入清新空气，还不忘回头看过来的足迹）,,
52,3,我,C,26,（在一片高昂飘扬的绿色中出现了一条笔直的路径，它缓慢地开始合拢了）,,
53,4,我,C,1,（你走累了正躺在一块大草坪上歇息）,,
54,4,我,C,2,（一望无际的蓝天上飘着各式各样的白云。你懒洋洋地望着它们，发现它们尽管速度缓慢但确实始终变化着。一点一点地吐着云丝，分裂又合流）,,
55,4,我,C,3,（你自己都没有意识到，自己的呼吸正渐渐变得缓慢起来。黑色的枝干剪裁了天空的四个角，叶片一遭风吹便摇动不已，枝干尖端的零星几张飞向了高空，上下翻飞、时起时落),,
56,4,我,C,4,（此时，周围的事物在你眼中看来十分悠游自在，透着一股兀自发展的和谐气息）,,
57,4,我,C,5,（视野中间的巨大白色云层使你浮想联翩，你的脑中出现了这样一副图景，在那片浓密的云层之间伸出了很长的螺旋式阶梯。这种想法使你得到慰藉）,,
58,4,我,C,6,（你单手托着后脑勺，感受着阳光在身体上的临摹、草地对背脊的安抚，不知不觉间睡着了）,,
59,4,我,C,7,（一个小时后你流着哈喇子醒来了，浑身的疲惫已一扫而空，取而代之的是某个部位有些太空了),,
60,4,我,C,8,（你看到树上站着的一只鸟再次开始想流哈喇子）,,
61,4,我,C,9,（于是你不得不离开亲爱的草坪，站起来伸了个懒腰、抖了抖双腿——虽然它们仍然有些沉重）嗯——找找东西吃吧。,,
62,4,我,C,10,（在这样风和日丽的天气里，你的心里某个角落对这样凭借本能过日子的生活却已开始感到厌烦）,,
63,4,我,C,11,（此时的你还不知道这种心情的名字）,,
64,5,我,C,1,（通过近几日的旅行，你已将许多生存所需的知识回忆了起来。然而，在这片广阔无垠的天地之间，你却不知道自己该去哪里。就在此时，你远远望见一群浑身红毛的长尾巴动物正向这边小心翼翼地行进而来）,,
65,5,狐狸众,C,2,（顾不得捕猎，围绕着你跑圈）噢，是人类！人类！,,
66,5,我,C,3,（不知所措）,,
67,5,狐狸A,C,4,人类，你要去哪儿？看你只身一人，要不要和我们一起？,,
68,5,狐狸众,C,5,（双双欢快地讨论起来）,,
69,5,狐狸B,C,6,是啊。我们可以和你分享食物。,,
70,5,我,C,7,（你注意到狐狸A的肚子里鼓鼓的）,,
71,5,狐狸C,C,8,走一个短程也行。,,
72,5,狐狸众,C,9,（又开始围绕你跑圈）,,
73,5,我,C,10,谢谢。我能帮到你们什么吗？,,
74,5,狐狸D,C,11,（狭长的瞳孔盯着你看）没事，不用你帮忙。（它的表情如同微笑一般，打呵欠似的张开了布满细细利齿的嘴）如果你能和我们一起捕猎或帮忙照看孩子的话那就再好不过了。,,
75,5,我,C,12,你们有见过像我这样的人类吗？,,
76,5,狐狸A,C,13,（摇了摇毛茸茸的脑袋）只是听说两腿直立行走的都是人类。,,
77,5,狐狸B,C,14,（立起耳朵)从没见过。,,
78,5,狐狸C,C,15,（它的瞳孔比其余几只都要锐利几分，脸上有道不生毛的长爪痕）我曾听一个远道而来的公狐说，它在一座巨大石头堆里见过人类。,,
79,5,狐狸D,C,16,（张嘴咬狐狸C）又在胡说了。你哪里见过什么远道而来的公狐了？,,
80,5,狐狸C,C,17,（做了个微妙的表情，没有搭茬）如果你不愿跟我们走就算了。,,
81,5,狐狸A,C,18,（用清澈的目光看向你）你不加入我们吗？,C2,
82,5,我,C2_1,1,不，请让我加入。如果不嫌弃，请让我成为你们的伙伴。,,
83,5,我,C2_1,2,……我……我不想再这样一个人游荡下去了……,,
84,5,狐狸众,C2_1,3,（欢喜地绕着你转圈）,,
85,5,狐狸A,C2_1,4,（它高兴地挥舞起大大的狐狸尾巴，把地面上的草叶也扇动得两边摆动）我就知道！我就知道我没看错。,,
86,5,狐狸A,C2_1,5,（蹭你的腿，然后朝狐狸B说)你说对吧，亲爱的？,,
87,5,狐狸B,C2_1,6,（抬头望着你）你真的想好了吗？,,
88,5,狐狸C,C2_1,7,（打岔)不要这么严肃嘛。就算只和我们同行一段路也好呀。,,
89,5,我,C2_1,8,（点头),,
90,5,狐狸B,C2_1,9,（低声说）这家伙要是想吃我们怎么办？（没人理它）,,
91,5,狐狸D,C2_1,10,（露出野兽独有的笑容）那么，欢迎你加入我们。,,END1
